customer_id,name,city
0abfcf1b43d1a0edf308b05224c18a30,Miguel Del Rosario,Iloilo City
58d1150c3ce4bf88d0370601724f88a7,Lourdes Aguilar,Cebu City
a9868ea3418ca5d937d16d49d220b00d,Rhea Garcia,Manila
a34cd96e2360c94d52390837f0e18a35,Maria Flores,Bacolod
1694891e4ce1e6b288e8418837c1078a,Pedro Rivera,Caloocan
4e7173fca4fbae5fb2ed3ed52201e3fe,Daniel Martinez,Antipolo
4cc84444c542051e23a4fc09ffb090f2,Kevin Salvador,Antipolo
44bbf10454ccb7f73cfc960a9049ce90,Rosa Gonzales,Davao City
1efa695814f7fbfaa66d48d3f4670a6d,Trisha Castillo,Bacolod
11d0ddf1644dae1606e8292c632d09a6,Fe Go,Cebu City
a704286c163c6e0d3891d924f7ed80a9,Maria Co,Cagayan de Oro
0ae548a309f8984452e0048084739c1a,Nicole Chua,Bacolod
ffe7f2ac2b25f6f3b3dfbca62b99ac08,Kimberly Domingo,Malabon
7c51ac8b5e59d0872463a6702c335df6,Kenneth Aquino,Makati
bd79adb7b55bb6b93e1fb890c1be9192,Adrian De Leon,Navotas
67b8e5f02c4a202e59b1a4d0d1b02973,Isabel Lopez,Parañaque
cc8677536375326046f663585abca5eb,Josephine Villanueva,Quezon City
dff4c56846bd4189070f256cd0cb65ff,Sofia Villanueva,Manila
cbf5ad9ff0cb7bed4ded913eb26103cd,Patricia Reyes,Makati
83ea37d66e7ba91adbe3348c0897e4e1,Jose Santiago,Taguig
8d68e32d51b999046282e714e6e60683,Carmen Del Rosario,Antipolo
e5bb64f6ab19b8ec97e0f4ed54448beb,Bianca De Leon,Pasay
98728f95401f4554ad7b559fec7d636e,Manuel De Leon,Bacoor
6c391464dab9d902cd06c70705347816,Carmen Castillo,Manila
f2e86f4be121e25ac0e4af7445c0a914,Corazon Mendoza,Malabon
e8d3286c96dc75d4048a2b74404da3c3,Sofia Reyes,Taguig
4a11e55ee142865490f07117d84f16b3,Kimberly Villanueva,Zamboanga City
8835da1123a7d692ec3ac9defa42c167,Andres Ong,Iloilo City
54159e3adb2a8f621f9a6376471f8562,Angelica Dela Cruz,Zamboanga City
